2025-10-28 17:03:47 info: Congratulations, your extension "Embold" is now active!
2025-10-28 17:03:47 info: ************* init ****************
2025-10-28 17:03:47 info: tempDirectory : /Users/shantanu/.vscode/extensions/embold-vscode.embold-0.3.1/temp
2025-10-28 17:03:47 info: Extraction complete for source: /Users/shantanu/.vscode/extensions/embold-vscode.embold-0.3.1/resources/embold-scanner-archive.zip, destination: /Users/shantanu/.vscode/extensions/embold-vscode.embold-0.3.1/temp
2025-10-28 19:02:30 info: Row(s) deleted
2025-10-28 19:02:30 info: Row(s) deleted
2025-10-28 19:02:30 info: Row(s) deleted
2025-10-28 19:02:30 info: Row(s) deleted
2025-10-28 19:02:30 info: Row(s) deleted
2025-10-28 19:02:32 info: Row(s) deleted
2025-10-28 19:02:32 info: Row(s) deleted
2025-10-28 19:02:32 info: Row(s) deleted
2025-10-28 19:02:32 info: Row(s) deleted
2025-10-28 19:02:32 info: Row(s) deleted
2025-10-28 19:02:33 info: Row(s) deleted
2025-10-28 19:02:33 info: Row(s) deleted
2025-10-28 19:02:33 info: Row(s) deleted
2025-10-28 19:02:33 info: Row(s) deleted
2025-10-28 19:02:33 info: Row(s) deleted
2025-10-28 19:02:34 info: Row(s) deleted
2025-10-28 19:02:34 info: Row(s) deleted
2025-10-28 19:02:34 info: Row(s) deleted
2025-10-28 19:02:34 info: Row(s) deleted
2025-10-28 19:02:34 info: Row(s) deleted
2025-10-28 19:02:36 info: Row(s) deleted
2025-10-28 19:02:36 info: Row(s) deleted
2025-10-28 19:02:47 info: Row(s) deleted
2025-10-28 19:06:36 info: Row(s) deleted
2025-10-28 19:06:36 info: Row(s) deleted
2025-10-28 19:06:37 info: Row(s) deleted
2025-10-28 19:06:37 info: Row(s) deleted
2025-10-28 19:06:37 info: Row(s) deleted
2025-10-28 19:06:37 info: Row(s) deleted
2025-10-28 19:06:37 info: Row(s) deleted
2025-10-28 19:06:37 info: Row(s) deleted
2025-10-28 19:06:37 info: Row(s) deleted
2025-10-28 19:06:37 info: Row(s) deleted
2025-10-28 19:06:37 info: Row(s) deleted
2025-10-28 19:06:37 info: Row(s) deleted
2025-10-28 19:06:37 info: Row(s) deleted
2025-10-28 19:06:37 info: Row(s) deleted
2025-10-28 19:06:37 info: Row(s) deleted
2025-10-28 19:06:37 info: Row(s) deleted
2025-10-28 19:06:37 info: Row(s) deleted
2025-10-28 19:06:37 info: Row(s) deleted
2025-10-28 19:06:37 info: Row(s) deleted
2025-10-28 19:06:37 info: Row(s) deleted
2025-10-28 19:06:37 info: Row(s) deleted
2025-10-28 19:06:37 info: Row(s) deleted
2025-10-28 19:06:37 info: Row(s) deleted
2025-10-28 19:06:37 info: Row(s) deleted
2025-10-28 19:06:37 info: Row(s) deleted
2025-10-28 19:06:37 info: Row(s) deleted
2025-10-28 19:06:37 info: Row(s) deleted
2025-10-28 19:06:37 info: Row(s) deleted
2025-10-28 19:06:37 info: Row(s) deleted
2025-10-28 19:06:37 info: Row(s) deleted
2025-10-28 19:06:37 info: Row(s) deleted
2025-10-28 19:06:37 info: Row(s) deleted
2025-10-28 19:06:37 info: Row(s) deleted
2025-10-28 19:06:37 info: Row(s) deleted
2025-10-28 19:06:37 info: Row(s) deleted
2025-10-28 19:06:37 info: Row(s) deleted
2025-10-28 19:06:37 info: Row(s) deleted
2025-10-28 19:06:37 info: Row(s) deleted
2025-10-28 19:06:37 info: Row(s) deleted
2025-10-28 19:06:37 info: Row(s) deleted
2025-10-28 19:06:37 info: Row(s) deleted
2025-10-28 19:06:37 info: Row(s) deleted
2025-10-28 19:06:37 info: Row(s) deleted
2025-10-28 19:06:37 info: Row(s) deleted
2025-10-28 19:06:37 info: Row(s) deleted
2025-10-28 19:06:37 info: Row(s) deleted
2025-10-28 19:06:37 info: Row(s) deleted
2025-10-28 19:06:37 info: Row(s) deleted
2025-10-28 19:06:37 info: Row(s) deleted
2025-10-28 19:06:37 info: Row(s) deleted
2025-10-28 19:06:37 info: Row(s) deleted
2025-10-28 19:06:37 info: Row(s) deleted
2025-10-28 19:06:37 info: Row(s) deleted
2025-10-28 19:06:37 info: Row(s) deleted
2025-10-28 19:06:37 info: Row(s) deleted
2025-10-28 19:06:37 info: Row(s) deleted
2025-10-28 19:06:37 info: Row(s) deleted
2025-10-28 19:06:37 info: Row(s) deleted
2025-10-28 19:06:40 info: Row(s) deleted
2025-10-28 19:06:40 info: Row(s) deleted
2025-10-28 19:06:42 info: Row(s) deleted
2025-10-28 19:06:47 info: Row(s) deleted
2025-10-28 19:06:47 info: Row(s) deleted
2025-10-28 19:06:49 info: Row(s) deleted
2025-10-28 19:06:49 info: Row(s) deleted
2025-10-28 19:06:49 info: Row(s) deleted
2025-10-28 19:06:49 info: Row(s) deleted
2025-10-28 19:06:49 info: Row(s) deleted
2025-10-28 19:06:49 info: Row(s) deleted
2025-10-28 19:06:49 info: Row(s) deleted
2025-10-28 19:06:49 info: Row(s) deleted
2025-10-28 19:06:49 info: Row(s) deleted
2025-10-28 19:06:49 info: Row(s) deleted
2025-10-28 19:06:49 info: Row(s) deleted
2025-10-28 19:06:49 info: Row(s) deleted
2025-10-28 19:06:49 info: Row(s) deleted
2025-10-28 19:06:50 info: Row(s) deleted
2025-10-28 19:06:50 info: Row(s) deleted
2025-10-28 19:06:50 info: Row(s) deleted
2025-10-28 19:06:50 info: Row(s) deleted
2025-10-28 19:06:50 info: Row(s) deleted
2025-10-28 19:06:50 info: Row(s) deleted
2025-10-28 19:06:50 info: Row(s) deleted
2025-10-28 19:06:50 info: Row(s) deleted
2025-10-28 19:06:50 info: Row(s) deleted
2025-10-28 19:06:50 info: Row(s) deleted
2025-10-28 19:06:50 info: Row(s) deleted
2025-10-28 19:06:50 info: Row(s) deleted
2025-10-28 19:06:50 info: Row(s) deleted
2025-10-28 19:06:50 info: Row(s) deleted
2025-10-28 19:06:50 info: Row(s) deleted
2025-10-28 19:06:51 info: Row(s) deleted
2025-10-28 19:06:51 info: Row(s) deleted
2025-10-28 19:06:51 info: Row(s) deleted
2025-10-28 19:06:51 info: Row(s) deleted
2025-10-28 19:06:51 info: Row(s) deleted
2025-10-28 19:06:51 info: Row(s) deleted
2025-10-28 19:06:51 info: Row(s) deleted
2025-10-28 19:06:51 info: Row(s) deleted
2025-10-28 19:06:51 info: Row(s) deleted
2025-10-28 19:06:51 info: Row(s) deleted
